ticket_id,order_id,customer_id,ticket_date,issue_category,issue_description,priority,ticket_status,resolution_days,customer_satisfaction_score
TICK00001,ORD00334,CUST0141,2024-09-23,Payment,Payment status is showing pending,Low,Closed,9.0,1.0
TICK00002,ORD02246,CUST0427,2024-09-15,Product,Product quality is not good compared to description,Low,Open,,
TICK00003,ORD02306,CUST0668,2024-12-13,Payment,Payment failed but amount was deducted,Medium,Closed,6.0,2.0
TICK00004,ORD02127,CUST0235,2024-01-26,Delivery,Order was delivered very late,Low,Closed,4.0,5.0
TICK00005,ORD01922,CUST0617,2024-01-23,Payment,Payment failed but amount was deducted,Low,Open,,
TICK00006,ORD01361,CUST0401,2024-11-07,Refund,Refund status is not updated,Medium,Open,,
TICK00007,ORD01530,CUST0267,2024-05-27,Return,Return process is taking too much time,Medium,Closed,4.0,4.0
TICK00008,ORD02019,CUST0763,2024-08-14,Delivery,Delivery partner did not call before marking delivery failed,Low,Escalated,7.0,
TICK00009,ORD02428,CUST0580,2024-04-12,Product,Wrong product was delivered,High,Closed,3.0,2.0
TICK00010,ORD02204,CUST0781,2024-03-06,Delivery,Order was delivered very late,Medium,Escalated,3.0,
TICK00011,ORD00905,CUST0380,2024-12-17,App/Website,Product page is not loading properly,High,Closed,6.0,1.0
TICK00012,ORD00520,CUST0775,2024-08-06,Product,Product is not working properly,Low,Closed,2.0,3.0
TICK00013,ORD00768,CUST0692,2024-06-27,Payment,Payment failed but amount was deducted,Medium,Closed,7.0,2.0
TICK00014,ORD02436,CUST0664,2024-09-21,Delivery,Order was delivered very late,High,Closed,6.0,2.0
TICK00015,ORD00166,CUST0013,2024-08-05,Payment,Cash on Delivery option is not available,Low,Closed,9.0,2.0
TICK00016,ORD00117,CUST0289,2024-01-18,Refund,Unable to complete payment using UPI,Medium,Closed,3.0,1.0
TICK00017,ORD00245,CUST0286,2024-01-16,Delivery,Order was delivered very late,High,Closed,4.0,1.0
TICK00018,ORD01326,CUST0272,2024-03-06,Delivery,My order is delayed and I have not received any update,Medium,Closed,4.0,5.0
TICK00019,ORD02414,CUST0744,2024-07-13,Payment,Cash on Delivery option is not available,Low,Open,,
TICK00020,ORD00051,CUST0656,2024-04-20,Product,Product is not working properly,Medium,Closed,3.0,3.0
TICK00021,ORD01310,CUST0502,2024-06-01,Refund,Refund is delayed for more than one week,Medium,Closed,8.0,5.0
TICK00022,ORD01175,CUST0442,2024-01-25,Delivery,My order is delayed and I have not received any update,Low,Open,,
TICK00023,ORD01437,CUST0213,2024-10-22,Refund,Refund is delayed for more than one week,Low,Closed,4.0,2.0
TICK00024,ORD00465,CUST0087,2024-08-08,Payment,Unable to complete payment using UPI,Medium,Open,,
TICK00025,ORD01795,CUST0704,2024-11-21,Refund,Refund amount is incorrect,Low,Closed,4.0,5.0
TICK00026,ORD00943,CUST0754,2024-02-09,Return,I am unable to schedule return pickup,High,Closed,2.0,5.0
TICK00027,ORD01556,CUST0613,2024-01-27,Refund,Refund status is not updated,Medium,Closed,1.0,1.0
TICK00028,ORD01320,CUST0464,2024-11-27,App/Website,Unable to login to my account,Medium,Open,,
TICK00029,ORD02255,CUST0340,2024-12-27,Return,Return request is not getting approved,Low,Escalated,9.0,
TICK00030,ORD01493,CUST0405,2024-02-03,Return,Return pickup has not been completed,Low,Escalated,6.0,
