order_item_id,order_id,product_id,quantity,unit_price,discount_amount,revenue,profit,return_status,return_reason
ITEM00001,ORD00001,PROD0053,1,10999,100,10899,3698,Not Returned,
ITEM00002,ORD00001,PROD0022,1,4299,0,4299,618,Not Returned,
ITEM00003,ORD00002,PROD0039,1,899,100,799,67,Not Returned,
ITEM00004,ORD00003,PROD0004,1,30999,0,30999,6567,Not Returned,
ITEM00005,ORD00004,PROD0082,2,249,100,398,4,Not Returned,
ITEM00006,ORD00005,PROD0018,1,89999,0,89999,17057,Returned,Reason Not Available
ITEM00007,ORD00005,PROD0084,3,149,50,397,91,Not Returned,
ITEM00008,ORD00005,PROD0039,1,899,100,799,67,Not Returned,
ITEM00009,ORD00006,PROD0017,1,57999,0,57999,13600,Returned,Wrong model received
ITEM00010,ORD00007,PROD0082,1,249,50,199,2,Returned,Quality issue
ITEM00011,ORD00007,PROD0013,3,47999,250,143747,32717,Returned,Not as described
ITEM00012,ORD00007,PROD0038,1,3999,50,3949,867,Returned,Quality issue
ITEM00013,ORD00008,PROD0071,3,479,100,1337,359,Not Returned,
ITEM00014,ORD00008,PROD0062,1,32999,50,32949,5494,Not Returned,
ITEM00015,ORD00008,PROD0006,1,39999,0,39999,8492,Not Returned,
ITEM00016,ORD00009,PROD0035,1,1499,0,1499,405,Not Returned,
ITEM00017,ORD00009,PROD0008,1,19999,100,19899,3441,Not Returned,
ITEM00018,ORD00010,PROD0059,2,49999,50,99948,21028,Not Returned,
ITEM00019,ORD00010,PROD0045,1,2299,150,2149,499,Not Returned,
ITEM00020,ORD00011,PROD0057,1,31999,150,31849,9142,Returned,Installation issue
ITEM00021,ORD00011,PROD0063,4,28999,0,115996,17052,Not Returned,
ITEM00022,ORD00012,PROD0057,2,31999,250,63748,18334,Not Returned,
ITEM00023,ORD00013,PROD0026,1,3499,100,3399,864,Returned,Damaged in transit
ITEM00024,ORD00014,PROD0006,1,39999,0,39999,8492,Not Returned,
ITEM00025,ORD00015,PROD0073,1,399,0,399,91,Not Returned,
ITEM00026,ORD00016,PROD0073,1,399,0,399,91,Returned,Damaged packaging
ITEM00027,ORD00017,PROD0005,1,24999,100,24899,5469,Not Returned,
ITEM00028,ORD00018,PROD0029,3,22999,0,68997,12663,Not Returned,
ITEM00029,ORD00018,PROD0060,1,15499,0,15499,4473,Not Returned,
ITEM00030,ORD00019,PROD0044,3,2599,50,7747,2278,Not Returned,
ITEM00031,ORD00019,PROD0079,1,559,250,309,-163,Not Returned,
ITEM00032,ORD00019,PROD0048,2,1899,150,3648,392,Not Returned,
ITEM00033,ORD00020,PROD0076,2,179,150,208,-64,Not Returned,
ITEM00034,ORD00020,PROD0067,1,199,0,199,59,Not Returned,
ITEM00035,ORD00021,PROD0066,1,149,250,0,-104,Not Returned,
ITEM00036,ORD00022,PROD0007,1,23999,0,23999,8094,Not Returned,
ITEM00037,ORD00022,PROD0076,2,179,0,358,86,Not Returned,
ITEM00038,ORD00022,PROD0039,1,899,0,899,167,Not Returned,
ITEM00039,ORD00022,PROD0033,2,2299,150,4448,1058,Not Returned,
ITEM00040,ORD00023,PROD0054,1,2999,0,2999,922,Not Returned,
