delivery_id,order_id,delivery_partner,expected_delivery_date,actual_delivery_date,delivery_status,delay_days,delivery_rating
DEL00001,ORD00001,XpressBees,2024-04-10,2024-04-10,On Time,0,3
DEL00002,ORD00002,Delhivery,2024-01-11,2024-01-11,On Time,0,4
DEL00003,ORD00003,Ekart Logistics,2024-12-14,2024-12-19,Delayed,5,4
DEL00004,ORD00004,Ekart Logistics,2024-08-16,,Processing,,
DEL00005,ORD00005,BlueDart,2024-08-24,2024-08-24,On Time,0,4
DEL00006,ORD00006,Delhivery,2024-01-28,2024-01-30,Delayed,2,4
DEL00007,ORD00007,BlueDart,2024-07-22,2024-07-23,Delayed,1,4
DEL00008,ORD00008,Delhivery,2024-08-26,2024-08-26,On Time,0,4
DEL00009,ORD00009,BlueDart,2024-10-05,2024-10-05,On Time,0,5
DEL00010,ORD00010,XpressBees,2024-09-25,,Processing,,
DEL00011,ORD00011,XpressBees,2024-08-19,2024-08-20,Delayed,1,4
DEL00012,ORD00012,Ecom Express,2024-04-02,2024-04-02,On Time,0,4
DEL00013,ORD00013,XpressBees,2024-12-24,2024-12-24,On Time,0,4
DEL00014,ORD00014,Delhivery,2024-08-26,2024-08-26,On Time,0,2
DEL00015,ORD00015,XpressBees,2024-10-30,,Cancelled,0,
DEL00016,ORD00016,Ecom Express,2024-06-17,2024-06-17,On Time,0,2
DEL00017,ORD00017,Ecom Express,2024-11-01,,Cancelled,0,
DEL00018,ORD00018,BlueDart,2024-05-11,2024-05-15,Delayed,4,3
DEL00019,ORD00019,Delhivery,2024-03-08,2024-03-10,Delayed,2,4
DEL00020,ORD00020,Ekart Logistics,2024-11-22,2024-11-22,On Time,0,5
DEL00021,ORD00021,Ekart Logistics,2024-07-19,,Cancelled,0,
DEL00022,ORD00022,BlueDart,2024-07-18,2024-07-21,Delayed,3,4
DEL00023,ORD00023,Ecom Express,2024-12-05,,Processing,,
DEL00024,ORD00024,Ecom Express,2024-04-03,,Processing,,
DEL00025,ORD00025,Delhivery,2024-06-10,,Cancelled,0,
DEL00026,ORD00026,Ecom Express,2024-04-09,2024-04-09,On Time,0,2
DEL00027,ORD00027,Delhivery,2024-11-17,,Processing,,
DEL00028,ORD00028,Delhivery,2024-09-14,,Processing,,
DEL00029,ORD00029,Delhivery,2024-11-13,2024-11-13,On Time,0,4
DEL00030,ORD00030,BlueDart,2024-12-07,2024-12-08,Delayed,1,5
DEL00031,ORD00031,BlueDart,2024-02-14,2024-02-15,Delayed,1,2
DEL00032,ORD00032,Delhivery,2024-05-25,2024-05-26,Delayed,1,1
DEL00033,ORD00033,Ekart Logistics,2024-03-22,2024-03-22,On Time,0,2
DEL00034,ORD00034,Ecom Express,2024-01-21,,Cancelled,0,
DEL00035,ORD00035,Ecom Express,2024-02-02,2024-02-02,On Time,0,1
DEL00036,ORD00036,Ecom Express,2024-12-17,2024-12-18,Delayed,1,1
DEL00037,ORD00037,XpressBees,2024-10-25,2024-10-27,Delayed,2,5
DEL00038,ORD00038,XpressBees,2024-06-08,2024-06-08,On Time,0,2
DEL00039,ORD00039,Ekart Logistics,2024-08-11,,Processing,,
DEL00040,ORD00040,Delhivery,2024-03-15,2024-03-15,On Time,0,3
DEL00041,ORD00041, delhivery ,2024-08-02,2024-08-02,On Time,0,1
DEL00042,ORD00042,BlueDart,2024-11-15,2024-11-15,On Time,0,1
DEL00043,ORD00043,Ekart Logistics,2024-11-23,2024-11-24,Delayed,1,5
DEL00044,ORD00044,Delhivery,2024-12-20,2024-12-20,On Time,0,1
DEL00045,ORD00045,Ecom Express,2024-06-18,2024-06-18,On Time,0,2
DEL00046,ORD00046,XpressBees,2024-10-18,2024-10-22,Delayed,4,3
DEL00047,ORD00047,BlueDart,2024-11-14,2024-11-16,Delayed,2,4
DEL00048,ORD00048,XpressBees,2024-03-08,2024-03-08,On Time,0,5
