ticket_id,order_id,customer_id,ticket_date,issue_category,issue_description,priority,ticket_status,resolution_days,customer_satisfaction_score,predicted_issue_category,predicted_priority,category_match,priority_match
TICK00001,ORD00334,CUST0141,2024-09-23,Payment,Payment status is showing pending,Low,Closed,9.0,1.0,Payment,Low,True,True
TICK00002,ORD02246,CUST0427,2024-09-15,Product,Product quality is not good compared to description,Low,Open,,,Product,Low,True,True
TICK00003,ORD02306,CUST0668,2024-12-13,Payment,Payment failed but amount was deducted,Medium,Closed,6.0,2.0,Payment,High,True,False
TICK00004,ORD02127,CUST0235,2024-01-26,Delivery,Order was delivered very late,Low,Closed,4.0,5.0,Delivery,Medium,True,False
TICK00005,ORD01922,CUST0617,2024-01-23,Payment,Payment failed but amount was deducted,Low,Open,,,Payment,High,True,False
TICK00006,ORD01361,CUST0401,2024-11-07,Refund,Refund status is not updated,Medium,Open,,,Refund,Low,True,False
TICK00007,ORD01530,CUST0267,2024-05-27,Return,Return process is taking too much time,Medium,Closed,4.0,4.0,Return,Medium,True,True
TICK00008,ORD02019,CUST0763,2024-08-14,Delivery,Delivery partner did not call before marking delivery failed,Low,Escalated,7.0,,Delivery,Low,True,True
TICK00009,ORD02428,CUST0580,2024-04-12,Product,Wrong product was delivered,High,Closed,3.0,2.0,Product,Low,True,False
TICK00010,ORD02204,CUST0781,2024-03-06,Delivery,Order was delivered very late,Medium,Escalated,3.0,,Delivery,Medium,True,True
TICK00011,ORD00905,CUST0380,2024-12-17,App/Website,Product page is not loading properly,High,Closed,6.0,1.0,Product,Low,False,False
TICK00012,ORD00520,CUST0775,2024-08-06,Product,Product is not working properly,Low,Closed,2.0,3.0,Product,Low,True,True
TICK00013,ORD00768,CUST0692,2024-06-27,Payment,Payment failed but amount was deducted,Medium,Closed,7.0,2.0,Payment,High,True,False
TICK00014,ORD02436,CUST0664,2024-09-21,Delivery,Order was delivered very late,High,Closed,6.0,2.0,Delivery,Medium,True,False
TICK00015,ORD00166,CUST0013,2024-08-05,Payment,Cash on Delivery option is not available,Low,Closed,9.0,2.0,Delivery,Low,False,True
TICK00016,ORD00117,CUST0289,2024-01-18,Refund,Unable to complete payment using UPI,Medium,Closed,3.0,1.0,Payment,Low,False,False
TICK00017,ORD00245,CUST0286,2024-01-16,Delivery,Order was delivered very late,High,Closed,4.0,1.0,Delivery,Medium,True,False
TICK00018,ORD01326,CUST0272,2024-03-06,Delivery,My order is delayed and I have not received any update,Medium,Closed,4.0,5.0,Delivery,Medium,True,True
TICK00019,ORD02414,CUST0744,2024-07-13,Payment,Cash on Delivery option is not available,Low,Open,,,Delivery,Low,False,True
TICK00020,ORD00051,CUST0656,2024-04-20,Product,Product is not working properly,Medium,Closed,3.0,3.0,Product,Low,True,False
TICK00021,ORD01310,CUST0502,2024-06-01,Refund,Refund is delayed for more than one week,Medium,Closed,8.0,5.0,Refund,Medium,True,True
TICK00022,ORD01175,CUST0442,2024-01-25,Delivery,My order is delayed and I have not received any update,Low,Open,,,Delivery,Medium,True,False
TICK00023,ORD01437,CUST0213,2024-10-22,Refund,Refund is delayed for more than one week,Low,Closed,4.0,2.0,Refund,Medium,True,False
TICK00024,ORD00465,CUST0087,2024-08-08,Payment,Unable to complete payment using UPI,Medium,Open,,,Payment,Low,True,False
TICK00025,ORD01795,CUST0704,2024-11-21,Refund,Refund amount is incorrect,Low,Closed,4.0,5.0,Refund,Low,True,True
TICK00026,ORD00943,CUST0754,2024-02-09,Return,I am unable to schedule return pickup,High,Closed,2.0,5.0,Return,Medium,True,False
TICK00027,ORD01556,CUST0613,2024-01-27,Refund,Refund status is not updated,Medium,Closed,1.0,1.0,Refund,Low,True,False
TICK00028,ORD01320,CUST0464,2024-11-27,App/Website,Unable to login to my account,Medium,Open,,,App/Website,Low,True,False
TICK00029,ORD02255,CUST0340,2024-12-27,Return,Return request is not getting approved,Low,Escalated,9.0,,Return,Medium,True,False
TICK00030,ORD01493,CUST0405,2024-02-03,Return,Return pickup has not been completed,Low,Escalated,6.0,,Return,Medium,True,False
TICK00031,ORD01165,CUST0317,2024-01-19,Refund,Refund amount is incorrect,High,Closed,9.0,4.0,Refund,Low,True,False
TICK00032,ORD00133,CUST0748,2024-09-27,Delivery,My order is delayed and I have not received any update,High,Closed,8.0,1.0,Delivery,Medium,True,False
TICK00033,ORD01322,CUST0703,2024-06-10,App/Website,Coupon code is not applying,Low,Closed,2.0,1.0,App/Website,Low,True,True
TICK00034,ORD02324,CUST0124,2024-12-01,Refund,Refund is delayed for more than one week,Medium,Open,,,Refund,Medium,True,True
TICK00035,ORD00276,CUST0210,2024-09-27,Product,Product is not working properly,Low,Closed,7.0,5.0,Product,Low,True,True
TICK00036,ORD02342,CUST0655,2024-06-27,Refund,Refund status is not updated,Low,Open,,,Refund,Low,True,True
TICK00037,ORD00918,CUST0147,2024-09-25,Delivery,Delivery partner did not call before marking delivery failed,High,Closed,4.0,3.0,Delivery,Low,True,False
TICK00038,ORD01136,CUST0018,2024-07-18,Delivery,Delivery partner did not call before marking delivery failed,High,Open,,,Delivery,Low,True,False
TICK00039,ORD01241,CUST0440,2024-03-07,Return,I am unable to schedule return pickup,Medium,Open,,,Return,Medium,True,True
TICK00040,ORD00758,CUST0161,2024-07-15,App/Website,App is crashing during checkout,Low,Closed,4.0,2.0,Payment,Low,False,True
TICK00041,ORD01190,CUST0108,2024-05-30,Return,Return request is not getting approved,Low,Escalated,3.0,,Return,Medium,True,False
TICK00042,ORD01675,CUST0728,2024-02-02,Delivery,Order was delivered very late,Low,Open,,,Delivery,Medium,True,False
TICK00043,ORD00515,CUST0306,2024-09-18,Delivery,My order is delayed and I have not received any update,Medium,Closed,8.0,3.0,Delivery,Medium,True,True
TICK00044,ORD01923,CUST0357,2024-02-18,Refund,Refund not received even after return pickup,Low,Closed,6.0,1.0,Refund,High,True,False
TICK00045,ORD00423,CUST0702,2024-06-14,Payment,Cash on Delivery option is not available,Low,Closed,6.0,4.0,Delivery,Low,False,True
TICK00046,ORD00552,CUST0508,2024-11-03,Product,Wrong product was delivered,Low,Closed,4.0,3.0,Product,Low,True,True
TICK00047,ORD00772,CUST0416,2024-10-31,Delivery,Delivery partner did not call before marking delivery failed,Medium,Open,,,Delivery,Low,True,False
TICK00048,ORD00960,CUST0764,2024-07-13,Refund,Refund is delayed for more than one week,Low,Escalated,3.0,,Refund,Medium,True,False
TICK00049,ORD01012,CUST0435,2024-12-25,Payment,Cash on Delivery option is not available,Medium,Closed,2.0,1.0,Delivery,Low,False,False
TICK00050,ORD00227,CUST0215,2024-08-16,Return,Return process is taking too much time,Medium,Open,,,Return,Medium,True,True
TICK00051,ORD01665,CUST0601,2024-06-10,Payment,Cash on Delivery option is not available,High,Closed,8.0,4.0,Delivery,Low,False,False
TICK00052,ORD01378,CUST0331,2024-10-25,Refund,Refund not received even after return pickup,Medium,Closed,6.0,4.0,Refund,High,True,False
TICK00053,ORD00970,CUST0532,2024-11-01,Return,I am unable to schedule return pickup,Low,Open,,,Return,Medium,True,False
TICK00054,ORD00829,CUST0099,2024-12-16,App/Website,Coupon code is not applying,High,Closed,8.0,3.0,App/Website,Low,True,False
TICK00055,ORD01524,CUST0467,2024-06-12,Return,Return pickup has not been completed,Low,Closed,9.0,5.0,Return,Medium,True,False
TICK00056,ORD00798,CUST0008,2024-03-28,Return,Return pickup has not been completed,Medium,Closed,2.0,4.0,Return,Medium,True,True
TICK00057,ORD01510,CUST0426,2024-02-20,Refund,Refund amount is incorrect,High,Open,,,Refund,Low,True,False
TICK00058,ORD01935,CUST0008,2024-07-25,Product,Wrong product was delivered,Low,Open,,,Product,Low,True,True
TICK00059,ORD01286,CUST0662,2024-08-08,Refund,Refund status is not updated,High,Closed,2.0,2.0,Refund,Low,True,False
TICK00060,ORD02398,CUST0025,2024-04-04,Delivery,My order is delayed and I have not received any update,Medium,Closed,5.0,1.0,Delivery,Medium,True,True
TICK00061,ORD02219,CUST0192,2024-06-20,App/Website,Unable to login to my account,Low,Closed,6.0,1.0,App/Website,Low,True,True
TICK00062,ORD00083,CUST0251,2024-04-09,Return,Return pickup has not been completed,Medium,Open,,,Return,Medium,True,True
TICK00063,ORD02337,CUST0720,2024-09-18,Delivery,Order was delivered very late,High,Open,,,Delivery,Medium,True,False
TICK00064,ORD01622,CUST0275,2024-12-21,Return,Return pickup has not been completed,Medium,Closed,4.0,1.0,Return,Medium,True,True
TICK00065,ORD00641,CUST0547,2024-11-17,Delivery,Delivery partner did not call before marking delivery failed,Low,Open,,,Delivery,Low,True,True
TICK00066,ORD02064,CUST0785,2024-10-14,Delivery,Delivery partner did not call before marking delivery failed,High,Closed,2.0,4.0,Delivery,Low,True,False
TICK00067,ORD00762,CUST0479,2024-08-13,Delivery,Order was delivered very late,High,Closed,7.0,3.0,Delivery,Medium,True,False
TICK00068,ORD00492,CUST0321,2024-08-12,Refund,Refund is delayed for more than one week,Low,Closed,6.0,3.0,Refund,Medium,True,False
TICK00069,ORD01653,CUST0451,2024-08-17,Return,Return request is not getting approved,Low,Closed,8.0,5.0,Return,Medium,True,False
TICK00070,ORD00001,CUST0168,2024-04-10,Refund,Refund is delayed for more than one week,Low,Closed,4.0,3.0,Refund,Medium,True,False
TICK00071,ORD02152,CUST0264,2024-04-03,Refund,Refund status is not updated,Medium,Closed,2.0,3.0,Refund,Low,True,False
TICK00072,ORD02008,CUST0751,2024-05-26,Refund,Refund amount is incorrect,Medium,Escalated,3.0,,Refund,Low,True,False
TICK00073,ORD02295,CUST0523,2024-05-31,Payment,Cash on Delivery option is not available,Low,Escalated,1.0,,Delivery,Low,False,True
TICK00074,ORD02003,CUST0600,2024-03-30,Refund,Refund amount is incorrect,Medium,Closed,7.0,5.0,Refund,Low,True,False
TICK00075,ORD01333,CUST0698,2024-01-27,Return,Return process is taking too much time,Low,Closed,6.0,1.0,Return,Medium,True,False
TICK00076,ORD01928,CUST0051,2024-08-19,Payment,Cash on Delivery option is not available,Low,Escalated,7.0,,Delivery,Low,False,True
TICK00077,ORD02066,CUST0123,2024-02-09,Refund,Refund amount is incorrect,Low,Closed,5.0,4.0,Refund,Low,True,True
TICK00078,ORD02262,CUST0147,2024-07-09,Refund,Refund status is not updated,Medium,Open,,,Refund,Low,True,False
TICK00079,ORD00600,CUST0349,2024-12-01,Refund,Refund not received even after return pickup,Medium,Open,,,Refund,High,True,False
TICK00080,ORD01951,CUST0103,2024-01-19,Refund,Refund is delayed for more than one week,Medium,Open,,,Refund,Medium,True,True
TICK00081,ORD00780,CUST0756,2024-01-16,Return,Return process is taking too much time,Low,Open,,,Return,Medium,True,False
TICK00082,ORD01905,CUST0542,2024-02-07,App/Website,Product page is not loading properly,Medium,Closed,2.0,1.0,Product,Low,False,False
TICK00083,ORD01741,CUST0589,2024-09-26,Payment,Cash on Delivery option is not available,Medium,Open,,,Delivery,Low,False,False
TICK00084,ORD01014,CUST0015,2024-11-18,Payment,Cash on Delivery option is not available,Medium,Closed,6.0,4.0,Delivery,Low,False,False
TICK00085,ORD00195,CUST0648,2024-08-14,Delivery,Package tracking is not updating properly,Medium,Closed,4.0,1.0,Other,Low,False,False
TICK00086,ORD02409,CUST0684,2024-03-18,Delivery,Order was delivered very late,Medium,Closed,5.0,3.0,Delivery,Medium,True,True
TICK00087,ORD01921,CUST0316,2024-04-16,Refund,Refund is delayed for more than one week,Medium,Open,,,Refund,Medium,True,True
TICK00088,ORD01867,CUST0168,2024-04-12,Refund,Refund status is not updated,Medium,Closed,8.0,2.0,Refund,Low,True,False
TICK00089,ORD00900,CUST0779,2024-02-29,Payment,Payment status is showing pending,Low,Closed,9.0,3.0,Payment,Low,True,True
TICK00090,ORD02380,CUST0456,2024-02-19,Refund,Refund not received even after return pickup,Low,Closed,8.0,3.0,Refund,High,True,False
TICK00091,ORD02112,CUST0005,2024-05-04,Refund,Refund not received even after return pickup,Medium,Open,,,Refund,High,True,False
TICK00092,ORD01013,CUST0510,2024-10-02,Delivery,Order was delivered very late,Low,Closed,7.0,5.0,Delivery,Medium,True,False
TICK00093,ORD01792,CUST0786,2024-08-04,Refund,Refund not received even after return pickup,Low,Closed,3.0,5.0,Refund,High,True,False
TICK00094,ORD01577,CUST0238,2024-06-10,Refund,Refund amount is incorrect,Medium,Escalated,1.0,,Refund,Low,True,False
TICK00095,ORD01688,CUST0011,2024-05-01,Return,Return process is taking too much time,Low,Open,,,Return,Medium,True,False
TICK00096,ORD00112,CUST0698,2024-06-23,Return,Return request is not getting approved,Low,Closed,1.0,4.0,Return,Medium,True,False
TICK00097,ORD02332,CUST0065,2024-06-02,App/Website,Product page is not loading properly,Medium,Closed,5.0,1.0,Product,Low,False,False
TICK00098,ORD02047,CUST0590,2024-07-19,App/Website,Product page is not loading properly,Low,Closed,5.0,1.0,Product,Low,False,True
TICK00099,ORD02333,CUST0491,2024-04-25,Product,Product quality is not good compared to description,Medium,Closed,1.0,5.0,Product,Low,True,False
TICK00100,ORD02043,CUST0222,2024-03-24,Return,Return pickup has not been completed,Medium,Open,,,Return,Medium,True,True
TICK00101,ORD02062,CUST0463,2024-06-18,Product,Received damaged product and box was opened,Medium,Closed,6.0,5.0,Product,High,True,False
TICK00102,ORD01335,CUST0273,2024-05-05,Payment,Payment failed but amount was deducted,Medium,Closed,4.0,2.0,Payment,High,True,False
TICK00103,ORD01373,CUST0278,2024-03-20,Product,Received damaged product and box was opened,Low,Closed,6.0,1.0,Product,High,True,False
TICK00104,ORD00046,CUST0630,2024-10-29,Payment,Cash on Delivery option is not available,Low,Closed,7.0,1.0,Delivery,Low,False,True
TICK00105,ORD02451,CUST0619,2024-10-31,Product,Wrong product was delivered,Medium,Open,,,Product,Low,True,False
TICK00106,ORD01198,CUST0040,2024-10-10,Delivery,Order was delivered very late,Low,Open,,,Delivery,Medium,True,False
TICK00107,ORD01137,CUST0113,2024-02-03,Product,Wrong product was delivered,Low,Closed,4.0,4.0,Product,Low,True,True
TICK00108,ORD01491,CUST0016,2024-06-05,Product,Wrong product was delivered,Low,Closed,3.0,1.0,Product,Low,True,True
TICK00109,ORD00190,CUST0311,2024-07-25,Product,Product is not working properly,Low,Open,,,Product,Low,True,True
